density,strategy,explored,time_s,prune_rate,reduction_fixes
0.10,certainty_first,1,0.005298,0.0000,20
0.10,most_fractional,1,0.003983,0.0000,20
0.10,degree,1,0.003821,0.0000,20
0.20,certainty_first,9,0.019336,0.4444,42
0.20,most_fractional,15,0.030421,0.4000,78
0.20,degree,19,0.031933,0.4211,53
0.30,certainty_first,15,0.031667,0.4667,74
0.30,most_fractional,31,0.048201,0.4516,44
0.30,degree,15,0.030046,0.4667,62
0.40,certainty_first,21,0.036716,0.4286,79
0.40,most_fractional,41,0.063262,0.4390,90
0.40,degree,17,0.032816,0.4706,52
0.50,certainty_first,21,0.041988,0.4762,67
0.50,most_fractional,43,0.083843,0.4186,200
0.50,degree,21,0.043482,0.4762,69
0.60,certainty_first,27,0.050519,0.4815,113
0.60,most_fractional,41,0.069030,0.4634,156
0.60,degree,29,0.049876,0.4828,88
