n,trial,config,explored,time_s,prune_rate
12,0,full (α+β+γ+δ),5,0.009679,0.4000
12,0,lp_only (α only),17,0.029747,0.3529
12,0,mwua_only (β only),5,0.010053,0.4000
12,0,no_pseudocost,5,0.009302,0.4000
12,0,no_residual,5,0.009049,0.4000
12,1,full (α+β+γ+δ),1,0.003869,0.0000
12,1,lp_only (α only),1,0.003844,0.0000
12,1,mwua_only (β only),1,0.005012,0.0000
12,1,no_pseudocost,1,0.004070,0.0000
12,1,no_residual,1,0.003844,0.0000
12,2,full (α+β+γ+δ),7,0.011508,0.4286
12,2,lp_only (α only),9,0.016033,0.3333
12,2,mwua_only (β only),9,0.014626,0.3333
12,2,no_pseudocost,7,0.010854,0.4286
12,2,no_residual,9,0.014737,0.3333
15,0,full (α+β+γ+δ),7,0.013830,0.4286
15,0,lp_only (α only),13,0.023103,0.4615
15,0,mwua_only (β only),7,0.013820,0.4286
15,0,no_pseudocost,7,0.013604,0.4286
15,0,no_residual,7,0.013832,0.4286
15,1,full (α+β+γ+δ),11,0.018732,0.4545
15,1,lp_only (α only),17,0.027893,0.4706
15,1,mwua_only (β only),11,0.019130,0.4545
15,1,no_pseudocost,11,0.020669,0.4545
15,1,no_residual,11,0.019912,0.4545
15,2,full (α+β+γ+δ),11,0.018520,0.4545
15,2,lp_only (α only),13,0.023723,0.4615
15,2,mwua_only (β only),11,0.019556,0.4545
15,2,no_pseudocost,11,0.019598,0.4545
15,2,no_residual,11,0.019264,0.4545
20,0,full (α+β+γ+δ),17,0.031034,0.4706
20,0,lp_only (α only),37,0.076930,0.4324
20,0,mwua_only (β only),17,0.034968,0.4706
20,0,no_pseudocost,17,0.030048,0.4706
20,0,no_residual,17,0.029068,0.4706
20,1,full (α+β+γ+δ),19,0.033494,0.4737
20,1,lp_only (α only),33,0.048498,0.4545
20,1,mwua_only (β only),17,0.030765,0.4706
20,1,no_pseudocost,19,0.033903,0.4737
20,1,no_residual,17,0.031157,0.4706
20,2,full (α+β+γ+δ),21,0.037522,0.4286
20,2,lp_only (α only),33,0.060068,0.4242
20,2,mwua_only (β only),21,0.038474,0.4286
20,2,no_pseudocost,17,0.031059,0.4706
20,2,no_residual,21,0.044257,0.4286
