n,trial,strategy,status,obj,explored,pruned,prune_rate,first_inc_depth,first_inc_time,total_time,reduction_fixes,lp_time_frac
10,0,certainty_first,optimal,5.0,3,1,0.3333,1,0.024127,0.025042,14,0.9338
10,0,most_fractional,optimal,5.0,3,1,0.3333,1,0.008451,0.009364,14,0.6684
10,0,random,optimal,5.0,3,1,0.3333,1,0.008594,0.011016,14,0.6783
10,0,degree,optimal,5.0,3,1,0.3333,1,0.006660,0.007566,14,0.8310
10,0,pseudo_cost,optimal,5.0,3,1,0.3333,1,0.005976,0.008888,14,0.8674
10,0,mwua_only,optimal,5.0,3,1,0.3333,1,0.006766,0.007809,14,0.8312
10,1,certainty_first,optimal,5.0,3,1,0.3333,1,0.003902,0.004799,10,0.9419
10,1,most_fractional,optimal,5.0,5,1,0.2000,2,0.008994,0.011803,21,0.9644
10,1,random,optimal,5.0,5,1,0.2000,2,0.005774,0.009784,11,0.9580
10,1,degree,optimal,5.0,3,1,0.3333,1,0.003981,0.004909,10,0.9434
10,1,pseudo_cost,optimal,5.0,5,1,0.2000,2,0.005768,0.008573,21,0.9578
10,1,mwua_only,optimal,5.0,3,1,0.3333,1,0.006052,0.007078,10,0.9532
15,0,certainty_first,optimal,9.0,9,4,0.4444,4,0.012173,0.016331,31,0.9673
15,0,most_fractional,optimal,9.0,23,8,0.3478,9,0.023399,0.043216,129,0.9740
15,0,random,optimal,9.0,7,2,0.2857,1,0.005378,0.013594,26,0.9597
15,0,degree,optimal,9.0,9,4,0.4444,4,0.012690,0.016657,31,0.9493
15,0,pseudo_cost,optimal,9.0,23,8,0.3478,9,0.025835,0.045142,129,0.9673
15,0,mwua_only,optimal,9.0,9,4,0.4444,4,0.012677,0.016563,31,0.9677
15,1,certainty_first,optimal,10.0,11,5,0.4545,5,0.013933,0.018702,8,0.9238
15,1,most_fractional,optimal,10.0,49,22,0.4490,10,0.027213,0.070559,73,0.9589
15,1,random,optimal,10.0,15,7,0.4667,3,0.012437,0.033272,39,0.9165
15,1,degree,optimal,10.0,11,5,0.4545,5,0.014366,0.020596,6,0.8510
15,1,pseudo_cost,optimal,10.0,49,22,0.4490,10,0.027032,0.074720,73,0.9559
15,1,mwua_only,optimal,10.0,11,5,0.4545,5,0.013881,0.018861,8,0.9119
20,0,certainty_first,optimal,13.0,13,6,0.4615,6,0.022044,0.028570,39,0.8942
20,0,most_fractional,optimal,13.0,41,15,0.3659,16,0.037749,0.068005,76,0.9481
20,0,random,optimal,13.0,25,11,0.4400,7,0.020578,0.048586,105,0.9404
20,0,degree,optimal,13.0,13,6,0.4615,6,0.019716,0.027378,41,0.9155
20,0,pseudo_cost,optimal,13.0,41,15,0.3659,16,0.038965,0.065731,76,0.9480
20,0,mwua_only,optimal,13.0,13,6,0.4615,6,0.020151,0.026161,39,0.9044
20,1,certainty_first,optimal,13.0,17,7,0.4118,8,0.020521,0.031202,84,0.9635
20,1,most_fractional,optimal,13.0,79,35,0.4430,14,0.033523,0.124463,349,0.9743
20,1,random,optimal,13.0,23,10,0.4348,5,0.014442,0.041998,96,0.9696
20,1,degree,optimal,13.0,13,6,0.4615,6,0.016768,0.023328,43,0.9600
20,1,pseudo_cost,optimal,13.0,79,35,0.4430,14,0.043807,0.221290,349,0.9166
20,1,mwua_only,optimal,13.0,17,7,0.4118,8,0.021974,0.032780,84,0.9724
