density,strategy,explored,time_s,prune_rate,reduction_fixes
0.10,certainty_first,1,0.016709,1.0000,0
0.10,most_fractional,1,0.015144,1.0000,0
0.10,degree,1,0.015191,1.0000,0
0.20,certainty_first,9,0.084898,0.5556,24
0.20,most_fractional,15,0.105822,0.5333,32
0.20,degree,9,0.104116,0.5556,22
0.30,certainty_first,33,0.276974,0.5152,107
0.30,most_fractional,25,0.252457,0.5200,78
0.30,degree,13,0.235569,0.5385,29
0.40,certainty_first,17,0.156502,0.5294,30
0.40,most_fractional,29,0.167656,0.5172,82
0.40,degree,17,0.147331,0.5294,32
0.50,certainty_first,21,0.208032,0.5238,45
0.50,most_fractional,29,0.221119,0.5172,96
0.50,degree,21,0.199622,0.5238,45
0.60,certainty_first,31,0.301556,0.5161,106
0.60,most_fractional,43,0.329537,0.5116,180
0.60,degree,27,0.291696,0.5185,85
