n,trial,config,explored,time_s,prune_rate,first_inc_depth
12,0,full (α+β+γ+δ),5,0.038227,0.6000,
12,0,lp_only (α),7,0.037954,0.5714,
12,0,mwua_only (β),5,0.035387,0.6000,
12,0,lp+mwua (α+β),5,0.038508,0.6000,
12,0,lp+mwua+degree (α+β+γ),5,0.038735,0.6000,
12,0,no_decay,5,0.040732,0.6000,
12,1,full (α+β+γ+δ),1,0.016778,1.0000,
12,1,lp_only (α),1,0.016554,1.0000,
12,1,mwua_only (β),1,0.016473,1.0000,
12,1,lp+mwua (α+β),1,0.015411,1.0000,
12,1,lp+mwua+degree (α+β+γ),1,0.015559,1.0000,
12,1,no_decay,1,0.015623,1.0000,
12,2,full (α+β+γ+δ),5,0.056820,0.6000,
12,2,lp_only (α),5,0.058785,0.6000,
12,2,mwua_only (β),5,0.057808,0.6000,
12,2,lp+mwua (α+β),5,0.058837,0.6000,
12,2,lp+mwua+degree (α+β+γ),5,0.057190,0.6000,
12,2,no_decay,5,0.056974,0.6000,
15,0,full (α+β+γ+δ),7,0.067704,0.5714,
15,0,lp_only (α),13,0.091851,0.5385,
15,0,mwua_only (β),7,0.079159,0.5714,
15,0,lp+mwua (α+β),7,0.069695,0.5714,
15,0,lp+mwua+degree (α+β+γ),7,0.067613,0.5714,
15,0,no_decay,7,0.066641,0.5714,
15,1,full (α+β+γ+δ),11,0.082166,0.5455,
15,1,lp_only (α),19,0.097301,0.5263,
15,1,mwua_only (β),11,0.079395,0.5455,
15,1,lp+mwua (α+β),11,0.083248,0.5455,
15,1,lp+mwua+degree (α+β+γ),11,0.080776,0.5455,
15,1,no_decay,11,0.079533,0.5455,
15,2,full (α+β+γ+δ),11,0.086762,0.5455,
15,2,lp_only (α),11,0.086380,0.5455,
15,2,mwua_only (β),11,0.086779,0.5455,
15,2,lp+mwua (α+β),11,0.087363,0.5455,
15,2,lp+mwua+degree (α+β+γ),11,0.087121,0.5455,
15,2,no_decay,11,0.088377,0.5455,
20,0,full (α+β+γ+δ),17,0.138721,0.5294,
20,0,lp_only (α),29,0.163358,0.5172,
20,0,mwua_only (β),17,0.144223,0.5294,
20,0,lp+mwua (α+β),17,0.137900,0.5294,
20,0,lp+mwua+degree (α+β+γ),17,0.142594,0.5294,
20,0,no_decay,17,0.141245,0.5294,
20,1,full (α+β+γ+δ),17,0.182967,0.5294,
20,1,lp_only (α),29,0.207202,0.5172,
20,1,mwua_only (β),19,0.188284,0.5263,
20,1,lp+mwua (α+β),19,0.188169,0.5263,
20,1,lp+mwua+degree (α+β+γ),19,0.188338,0.5263,
20,1,no_decay,17,0.182994,0.5294,
20,2,full (α+β+γ+δ),19,0.189761,0.5263,
20,2,lp_only (α),23,0.197288,0.5217,
20,2,mwua_only (β),19,0.189592,0.5263,
20,2,lp+mwua (α+β),19,0.188249,0.5263,
20,2,lp+mwua+degree (α+β+γ),19,0.188177,0.5263,
20,2,no_decay,19,0.188775,0.5263,
