n,trial,strategy,status,obj,explored,pruned,prune_rate,first_inc_depth,first_inc_time,total_time,reduction_fixes,lp_time_frac,mean_persistence,mean_residual_density,mean_active_vertices,mean_local_gain
15,0,certainty_first,optimal,9.0,7,4,0.5714,,NA,0.081808,3,0.1441,0.0333,0.3621,14.00,0.4061
15,0,most_fractional,optimal,9.0,7,4,0.5714,,NA,0.074906,5,0.1447,0.0481,0.3860,14.00,0.4167
15,0,random,optimal,9.0,7,4,0.5714,,NA,0.075115,3,0.1436,0.0333,0.3750,14.00,0.4152
15,0,degree,optimal,9.0,7,4,0.5714,,NA,0.075458,3,0.1428,0.0333,0.3621,14.00,0.4061
15,0,pseudo_cost,optimal,9.0,7,4,0.5714,,NA,0.076071,5,0.1500,0.0481,0.3860,14.00,0.4167
15,0,mwua_only,optimal,9.0,7,4,0.5714,,NA,0.076088,7,0.1466,0.0852,0.3621,14.00,0.4161
15,1,certainty_first,optimal,10.0,11,6,0.5455,,NA,0.090413,14,0.1846,0.0840,0.3462,13.00,0.3424
15,1,most_fractional,optimal,10.0,23,12,0.5217,,NA,0.114606,54,0.3090,0.1601,0.4624,12.73,0.4171
15,1,random,optimal,10.0,19,10,0.5263,,NA,0.103865,39,0.2833,0.1591,0.4426,13.00,0.3806
15,1,degree,optimal,10.0,11,6,0.5455,,NA,0.088429,6,0.1786,0.0720,0.3389,13.00,0.3528
15,1,pseudo_cost,optimal,10.0,23,12,0.5217,,NA,0.110901,54,0.3218,0.1601,0.4624,12.73,0.4171
15,1,mwua_only,optimal,10.0,11,6,0.5455,,NA,0.092592,8,0.1709,0.0787,0.3389,13.00,0.3436
15,2,certainty_first,optimal,9.0,7,4,0.5714,,NA,0.067569,7,0.1560,0.0852,0.3621,14.00,0.3762
15,2,most_fractional,optimal,9.0,7,4,0.5714,,NA,0.067069,7,0.1616,0.0852,0.3786,14.00,0.3704
15,2,random,optimal,9.0,7,4,0.5714,,NA,0.067730,3,0.1659,0.0333,0.3945,14.00,0.4072
15,2,degree,optimal,9.0,7,4,0.5714,,NA,0.067387,7,0.1567,0.0852,0.3621,14.00,0.3762
15,2,pseudo_cost,optimal,9.0,7,4,0.5714,,NA,0.066591,7,0.1623,0.0852,0.3786,14.00,0.3704
15,2,mwua_only,optimal,9.0,7,4,0.5714,,NA,0.068712,7,0.1571,0.0852,0.3664,14.00,0.3822
20,0,certainty_first,optimal,13.0,13,7,0.5385,,NA,0.112020,17,0.1891,0.0653,0.3238,17.50,0.3345
20,0,most_fractional,optimal,13.0,19,10,0.5263,,NA,0.125432,45,0.2483,0.1059,0.3711,16.78,0.3710
20,0,random,optimal,13.0,15,8,0.5333,,NA,0.116776,22,0.2105,0.1154,0.3630,17.71,0.3634
20,0,degree,optimal,13.0,13,7,0.5385,,NA,0.112534,17,0.1845,0.0653,0.3227,17.50,0.3328
20,0,pseudo_cost,optimal,13.0,19,10,0.5263,,NA,0.125190,45,0.2513,0.1059,0.3711,16.78,0.3710
20,0,mwua_only,optimal,13.0,13,7,0.5385,,NA,0.111930,19,0.1904,0.0714,0.3238,17.50,0.3382
20,1,certainty_first,optimal,13.0,13,7,0.5385,,NA,0.137404,19,0.1608,0.0714,0.3131,17.50,0.3027
20,1,most_fractional,optimal,13.0,19,10,0.5263,,NA,0.146979,33,0.2159,0.0919,0.3848,17.67,0.3404
20,1,random,optimal,13.0,15,8,0.5333,,NA,0.138155,22,0.1843,0.0963,0.3706,17.57,0.3504
20,1,degree,optimal,13.0,13,7,0.5385,,NA,0.135540,15,0.1630,0.0625,0.3115,17.50,0.3050
20,1,pseudo_cost,optimal,13.0,19,10,0.5263,,NA,0.146787,33,0.2199,0.0919,0.3848,17.67,0.3404
20,1,mwua_only,optimal,13.0,13,7,0.5385,,NA,0.141130,23,0.1509,0.0844,0.3141,17.50,0.3108
20,2,certainty_first,optimal,14.0,17,9,0.5294,,NA,0.154337,28,0.1885,0.0875,0.3656,16.50,0.3495
20,2,most_fractional,optimal,14.0,23,12,0.5217,,NA,0.164061,58,0.2324,0.1250,0.4299,16.64,0.3746
20,2,random,optimal,14.0,27,14,0.5185,,NA,0.174643,72,0.2632,0.1424,0.4321,16.77,0.3685
20,2,degree,optimal,14.0,17,9,0.5294,,NA,0.151126,28,0.1876,0.0875,0.3584,16.50,0.3242
20,2,pseudo_cost,optimal,14.0,23,12,0.5217,,NA,0.166039,58,0.2370,0.1250,0.4299,16.64,0.3746
20,2,mwua_only,optimal,14.0,17,9,0.5294,,NA,0.152691,28,0.1874,0.0875,0.3682,16.50,0.3573
25,0,certainty_first,optimal,18.0,25,13,0.5200,,NA,0.261009,93,0.1726,0.1308,0.3102,19.75,0.3153
25,0,most_fractional,optimal,18.0,53,27,0.5094,,NA,0.331076,247,0.2911,0.2083,0.4017,20.54,0.3361
25,0,random,optimal,18.0,39,20,0.5128,,NA,0.293497,165,0.2365,0.2048,0.3985,20.79,0.3400
25,0,degree,optimal,18.0,23,12,0.5217,,NA,0.255192,69,0.1606,0.1093,0.3032,20.00,0.3188
25,0,pseudo_cost,optimal,18.0,53,27,0.5094,,NA,0.327081,247,0.2848,0.2083,0.4017,20.54,0.3361
25,0,mwua_only,optimal,18.0,23,12,0.5217,,NA,0.253693,77,0.1600,0.1117,0.3086,20.00,0.3250
25,1,certainty_first,optimal,18.0,29,15,0.5172,,NA,0.306639,98,0.1673,0.1594,0.3302,19.79,0.2930
25,1,most_fractional,optimal,18.0,39,20,0.5128,,NA,0.327861,150,0.2079,0.1697,0.3933,20.84,0.3461
25,1,random,optimal,18.0,33,17,0.5152,,NA,0.317458,124,0.1839,0.1980,0.3687,20.44,0.3292
25,1,degree,optimal,18.0,23,12,0.5217,,NA,0.290777,65,0.1423,0.1063,0.3145,20.00,0.2980
25,1,pseudo_cost,optimal,18.0,39,20,0.5128,,NA,0.333034,150,0.2088,0.1697,0.3933,20.84,0.3461
25,1,mwua_only,optimal,18.0,25,13,0.5200,,NA,0.296450,77,0.1509,0.1179,0.3233,19.58,0.3047
25,2,certainty_first,optimal,18.0,25,13,0.5200,,NA,0.245789,67,0.1823,0.1100,0.3288,19.58,0.3066
25,2,most_fractional,optimal,18.0,51,26,0.5098,,NA,0.310349,210,0.2925,0.1957,0.4141,20.44,0.3425
25,2,random,optimal,18.0,43,22,0.5116,,NA,0.294007,167,0.2637,0.1819,0.4004,20.14,0.3436
25,2,degree,optimal,18.0,23,12,0.5217,,NA,0.242418,59,0.1709,0.1020,0.3217,20.00,0.3191
25,2,pseudo_cost,optimal,18.0,51,26,0.5098,,NA,0.314113,210,0.2989,0.1957,0.4141,20.44,0.3425
25,2,mwua_only,optimal,18.0,23,12,0.5217,,NA,0.241809,55,0.1720,0.1000,0.3390,20.00,0.3263
30,0,certainty_first,optimal,23.0,65,33,0.5077,,NA,0.941528,411,0.1429,0.2423,0.3148,22.22,0.2747
30,0,most_fractional,optimal,23.0,145,73,0.5034,,NA,1.165210,1029,0.2370,0.3269,0.4054,23.15,0.3354
30,0,random,optimal,23.0,121,61,0.5041,,NA,1.095093,827,0.2112,0.3270,0.4081,23.28,0.3358
30,0,degree,optimal,23.0,51,26,0.5098,,NA,0.845757,292,0.1140,0.1982,0.3133,23.04,0.2783
30,0,pseudo_cost,optimal,23.0,145,73,0.5034,,NA,1.151895,1029,0.2372,0.3269,0.4061,23.15,0.3358
30,0,mwua_only,optimal,23.0,65,33,0.5077,,NA,0.894908,420,0.1374,0.2412,0.3195,22.47,0.2829
30,1,certainty_first,optimal,22.0,31,16,0.5161,,NA,0.549729,106,0.1086,0.1167,0.3314,23.87,0.3010
30,1,most_fractional,optimal,22.0,83,42,0.5060,,NA,0.717796,467,0.2261,0.2403,0.4020,24.07,0.3337
30,1,random,optimal,22.0,81,41,0.5062,,NA,0.719582,449,0.2250,0.2749,0.3974,24.38,0.3329
30,1,degree,optimal,22.0,31,16,0.5161,,NA,0.568575,106,0.1068,0.1167,0.3236,23.87,0.2967
30,1,pseudo_cost,optimal,22.0,83,42,0.5060,,NA,0.728894,467,0.2155,0.2403,0.4020,24.07,0.3337
30,1,mwua_only,optimal,22.0,33,17,0.5152,,NA,0.553601,121,0.1149,0.1249,0.3368,24.00,0.3131
30,2,certainty_first,optimal,22.0,29,15,0.5172,,NA,0.362387,93,0.1577,0.1087,0.3252,23.50,0.2934
30,2,most_fractional,optimal,22.0,57,29,0.5088,,NA,0.453234,278,0.2433,0.1923,0.3998,23.46,0.3351
30,2,random,optimal,22.0,51,26,0.5098,,NA,0.429945,246,0.2268,0.2254,0.3868,24.64,0.3332
30,2,degree,optimal,22.0,29,15,0.5172,,NA,0.359417,93,0.1540,0.1087,0.3232,23.50,0.2903
30,2,pseudo_cost,optimal,22.0,57,29,0.5088,,NA,0.452748,278,0.2453,0.1923,0.3998,23.46,0.3351
30,2,mwua_only,optimal,22.0,29,15,0.5172,,NA,0.360345,93,0.1541,0.1087,0.3319,23.50,0.2998
40,0,certainty_first,optimal,32.0,119,60,0.5042,,NA,4.161361,1144,0.0940,0.2997,0.3380,29.76,0.2768
