graph,method,time,nodes,objective,gap,ml_calls
frb30-15-1,SCIP,744.049254655838,65245,30.0,0.0,0
frb30-15-1,ML-depth5,982.9316275119781,76925,30.0,0.0,61
frb30-15-2,SCIP,2051.2905626296997,177486,30.0,0.0,0
frb30-15-2,ML-depth5,1773.3313958644867,142933,30.0,0.0,63
frb30-15-3,SCIP,1615.78750538826,155702,30.0,0.0,0
frb30-15-3,ML-depth5,2085.8983759880066,196991,30.0,0.0,62
frb30-15-4,SCIP,601.3666384220123,22194,30.0,0.0,0
frb30-15-4,ML-depth5,1132.5737369060516,90457,30.0,0.0,52
frb30-15-5,SCIP,334.0599055290222,3920,30.0,0.0,0
frb30-15-5,ML-depth5,854.0943570137024,65979,30.0,0.0,63
frb35-17-1,SCIP,6479.914417982101,362973,35.0,0.0,0
frb35-17-1,ML-depth5,13948.852124929428,950640,35.0,0.0,63
frb35-17-2,SCIP,16677.672643899918,1032826,35.0,0.0,0
frb35-17-2,ML-depth5,6524.997590065002,419198,34.0,0.029411764705882353,63
