instance,n_vertices,n_edges,vertex_edge_ratio,mean_degree,degree_variance,max_degree,mean_edge_size,edge_size_variance,min_edge_size,max_edge_size,singleton_fraction,binary_fraction,incidence_density,connected_components,mwu_mean,mwu_variance,mwu_max,mwu_concentration,mwu_entropy
exact_001,450,1184,0.38006756756756754,7.3933333333333335,7.025288888888889,16.0,2.8099662162162162,0.15392094480460186,2.0,3.0,0.0,0.19003378378378377,0.00624436936936937,1,0.0008445945945945946,2.8797175127344764e-06,0.005234708604063076,0.005234708604063076,5.510258624285816
exact_002,450,1185,0.379746835443038,7.4,5.911111111111111,15.0,2.810126582278481,0.1538215029642685,2.0,3.0,0.0,0.189873417721519,0.006244725738396625,1,0.0008438818565400842,2.9240118065211236e-06,0.005051019578127028,0.005051019578127029,5.488994085166818
exact_003,198,1080,0.18333333333333332,10.909090909090908,11.264462809917356,21.0,2.0,0.0,2.0,2.0,0.0,1.0,0.010101010101010102,1,0.000925925925925926,7.469908400551785e-06,0.011210294223669252,0.011210294223669252,4.7917036458748825
exact_004,200,1172,0.17064846416382254,11.72,10.921599999999998,20.0,2.0,0.0,2.0,2.0,0.0,1.0,0.01,1,0.0008532423208191126,6.685517300372241e-06,0.011256494759422937,0.011256494759422937,4.834028715698204
exact_005,3523,6446,0.5465404902264971,3.6593812091967073,4.259794905204667,17.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0005676979846721544,1,0.00015513496742165683,2.6111783834557075e-08,0.000640329008912054,0.000640329008912054,8.07905261107479
exact_006,450,1185,0.379746835443038,7.4,6.6177777777777775,18.0,2.810126582278481,0.15382150296426855,2.0,3.0,0.0,0.189873417721519,0.006244725738396625,1,0.0008438818565400844,2.929659257176377e-06,0.004941706372822142,0.004941706372822142,5.5054009019096455
exact_007,200,933,0.21436227224008575,9.33,8.2811,19.0,2.0,0.0,2.0,2.0,0.0,1.0,0.01,1,0.0010718113612004287,8.63145391446406e-06,0.011285651392932422,0.011285651392932422,4.764092567143063
exact_008,448,1180,0.37966101694915255,7.401785714285714,6.735889668367347,15.0,2.8101694915254236,0.1537948865268601,2.0,3.0,0.0,0.18983050847457628,0.00627269975786925,1,0.000847457627118644,2.902543509920899e-06,0.005143191605997323,0.005143191605997323,5.510258622723537
exact_009,4141,4089,1.012717045732453,3.4201883602994445,0.5474214569135395,6.0,3.4636830520909756,0.5353037254183199,2.0,6.0,0.0,0.10149180728784545,0.0008364363806063694,37,0.0002445585717779409,9.689119229250086e-09,0.0007305064444831487,0.0007305064444831485,8.241089247646048
exact_010,3547,3490,1.0163323782234956,3.5164928108260503,0.6652904343294829,6.0,3.5739255014326647,0.6479734156534017,2.0,6.0,0.0,0.098567335243553,0.0010075910632739399,31,0.00028653295128939826,1.612774652921074e-08,0.000815813387450455,0.0008158133874504552,8.061368877401954
exact_011,448,1179,0.3799830364715861,7.395089285714286,6.997922313456633,16.0,2.810008481764207,0.15389474123425137,2.0,3.0,0.0,0.18999151823579305,0.006272340361080819,1,0.0008481764206955047,2.937032261306442e-06,0.005185220221062048,0.005185220221062048,5.485059308956344
exact_012,450,1185,0.379746835443038,7.4,6.16,15.0,2.810126582278481,0.15382150296426852,2.0,3.0,0.0,0.189873417721519,0.006244725738396625,1,0.0008438818565400844,2.9723058988582455e-06,0.004913814275134104,0.004913814275134104,5.4768108747627
exact_013,450,1185,0.379746835443038,7.4,6.622222222222222,17.0,2.810126582278481,0.15382150296426852,2.0,3.0,0.0,0.189873417721519,0.006244725738396625,1,0.0008438818565400844,2.8805137556399616e-06,0.00492113830700061,0.00492113830700061,5.5277383761422225
