instance,reduced_vertex,degree,weighted_degree,hyperedge_participation,mwu_weighted_degree,mean_incident_mwu,max_incident_mwu,mean_incident_edge_size,max_incident_edge_size,singleton_participation,binary_participation,x_avg,certainty
exact_005,1,8.0,16.0,8.0,0.0005669197336252822,7.086496670316027e-05,0.0005669197336252474,2.0,2.0,0.0,8.0,0.568633682796446,0.068633682796446
exact_005,2,11.0,22.0,11.0,0.0006381777968544163,5.8016163350401485e-05,0.0006381768099584081,2.0,2.0,0.0,11.0,0.5507733691997309,0.050773369199730856
exact_005,3,12.0,24.0,12.0,0.0005702532602240439,4.752110501867032e-05,0.0005105414479667265,2.0,2.0,0.0,12.0,0.31508789818954236,0.18491210181045764
exact_005,4,6.0,12.0,6.0,0.000565360418523466,9.422673642057766e-05,0.0005105414479667265,2.0,2.0,0.0,6.0,0.5548083389374593,0.05480833893745929
exact_005,5,4.0,8.0,4.0,0.0005623244315269988,0.0001405811078817497,0.00032674652669870493,2.0,2.0,0.0,4.0,0.5494283792871556,0.0494283792871556
exact_005,6,5.0,10.0,5.0,0.0006275199746755584,0.00012550399493511168,0.0006275199746755584,2.0,2.0,0.0,5.0,0.5472761245776342,0.04727612457763419
exact_005,7,10.0,20.0,10.0,0.0005977087654544386,5.977087654544386e-05,0.0005977087654543992,2.0,2.0,0.0,10.0,0.5523315802400189,0.05233158024001894
exact_005,8,8.0,16.0,8.0,0.0005740766498330202,7.175958122912752e-05,0.0005740766498330202,2.0,2.0,0.0,8.0,0.5548083389374593,0.05480833893745929
exact_005,9,7.0,14.0,7.0,0.0006381768099592598,9.116811570846568e-05,0.0006381768099584081,2.0,2.0,0.0,7.0,0.5501008742434425,0.05010087424344245
exact_005,10,6.0,12.0,6.0,0.000638176810309719,0.00010636280171828651,0.0006381768099584081,2.0,2.0,0.0,6.0,0.5537830162246481,0.053783016224648095
exact_005,11,6.0,12.0,6.0,0.0005285045282393728,8.808408803989546e-05,0.0005105414479667265,2.0,2.0,0.0,6.0,0.5440484196368522,0.04404841963685224
exact_005,12,7.0,14.0,7.0,0.0006381768099584081,9.116811570834402e-05,0.0006381768099584081,2.0,2.0,0.0,7.0,0.5648957632817763,0.06489576328177626
exact_005,13,13.0,26.0,13.0,0.0006381768099584503,4.909052384295772e-05,0.0006381768099584081,2.0,2.0,0.0,13.0,0.5379959650302619,0.037995965030261925
