call,node_depth,var,score,num_candidates,time
1,0,t_x_87,0.3939118729668253,450,0.602885
2,1,t_x_17,0.381649542192441,449,0.626949
3,1,t_x_17,0.381649542192441,109,0.982939
4,2,t_x_81,0.3787082830542944,108,1.002225
5,3,t_x_84,0.37220052237281115,107,1.021060
6,4,t_x_82,0.3697496709659753,106,1.040120
7,5,t_x_334,0.3669507080339,105,1.059438
8,6,t_x_88,0.36565753033657356,104,1.078984
9,7,t_x_360,0.36397443758978015,103,1.098955
10,8,t_x_288,0.35556806203507985,102,1.118021
11,2,t_x_81,0.3787082830542944,94,1.483104
12,3,t_x_84,0.37220052237281115,93,1.502476
13,4,t_x_82,0.3697496709659753,92,1.521262
14,5,t_x_401,0.36639890123245006,91,1.540145
15,6,t_x_88,0.36565753033657356,90,1.558923
16,7,t_x_360,0.36397443758978015,89,1.578454
17,8,t_x_118,0.3562705793325379,88,1.597809
18,9,t_x_89,0.3418552133182626,87,1.616905
19,10,t_x_98,0.3410733321474508,86,1.635804
20,11,t_x_200,0.3375840595031447,19,1.675415
21,2,t_x_227,0.3800136810640413,448,1.724428
22,3,t_x_81,0.3787082830542944,93,2.068583
23,12,t_x_20,0.3353069744273539,18,2.102238
24,13,t_x_373,0.3291839228566644,8,2.121601
25,14,t_x_97,0.3290778133744423,7,2.139542
26,13,t_x_373,0.3291839228566644,17,2.178746
27,14,t_x_97,0.3290778133744423,16,2.198003
28,15,t_x_270,0.32783001401543077,11,2.216806
29,16,t_x_10,0.3272199581788964,10,2.245844
30,15,t_x_270,0.32783001401543077,15,2.285208
31,16,t_x_10,0.3272199581788964,14,2.304179
32,11,t_x_76,0.3397542609479636,85,2.339882
33,12,t_x_25,0.3388881960489056,30,2.377616
34,3,t_x_81,0.3787082830542944,447,2.427667
35,4,t_x_337,0.37388420445038456,107,2.659708
36,13,t_x_23,0.33750992239639216,29,2.693593
37,14,t_x_77,0.33679519038950717,16,2.714487
38,15,t_x_78,0.33629539686852905,15,2.732748
39,16,t_x_75,0.3306908869598732,14,2.763011
40,17,t_x_373,0.3291839228566644,13,2.792912
41,4,t_x_337,0.37388420445038456,446,2.842557
42,5,t_x_233,0.37287977458525207,95,3.056198
43,18,t_x_367,0.32833040353733933,12,3.091157
44,14,t_x_77,0.33679519038950717,28,3.132025
45,15,t_x_80,0.33654528594539296,27,3.163730
46,16,t_x_78,0.33629539686852905,26,3.195626
47,17,t_x_75,0.3306908869598732,25,3.227078
48,18,t_x_373,0.3291839228566644,24,3.258392
49,19,t_x_153,0.32837066835719786,23,3.278403
50,20,t_x_367,0.32833040353733933,22,3.298731
51,21,t_x_15,0.3268669079888928,21,3.318595
52,22,t_x_22,0.32643339157926643,20,3.349147
53,23,t_x_369,0.3257086592576262,19,3.379852
54,24,t_x_366,0.32490447930058935,18,3.399609
55,25,t_x_18,0.3246724231025938,17,3.419212
56,26,t_x_130,0.3237189430626469,16,3.438391
57,12,t_x_25,0.3388881960489056,84,3.473162
58,13,t_x_365,0.3384154625966223,40,3.510164
59,14,t_x_23,0.33750992239639216,39,3.554362
60,15,t_x_26,0.33710634432496456,25,3.576910
61,15,t_x_26,0.33710634432496456,38,3.616783
62,16,t_x_21,0.33674725056917193,26,3.638085
63,16,t_x_21,0.33674725056917193,37,3.678814
64,17,t_x_80,0.33654528594539296,36,3.710584
65,18,t_x_78,0.33629539686852905,35,3.731757
66,19,t_x_20,0.3353069744273539,34,3.752575
67,20,t_x_75,0.3306908869598732,33,3.783537
68,21,t_x_373,0.3291839228566644,32,3.804515
69,22,t_x_97,0.3290778133744423,31,3.825434
70,23,t_x_374,0.32811552122135923,30,3.846189
71,24,t_x_270,0.32783001401543077,29,3.866971
72,25,t_x_10,0.3272199581788964,28,3.887467
73,13,t_x_365,0.3384154625966223,83,3.922258
74,14,t_x_164,0.33768298287911286,82,3.973694
75,15,t_x_200,0.3375840595031447,81,4.023839
76,16,t_x_23,0.33750992239639216,80,4.051306
77,17,t_x_26,0.33710634432496456,41,4.087481
78,18,t_x_77,0.33679519038950717,26,4.109850
79,18,t_x_77,0.33679519038950717,40,4.151002
80,19,t_x_21,0.33674725056917193,39,4.184036
81,20,t_x_78,0.33629539686852905,38,4.216887
82,21,t_x_20,0.3353069744273539,37,4.249311
83,22,t_x_75,0.3306908869598732,36,4.281870
84,23,t_x_373,0.3291839228566644,35,4.314444
85,24,t_x_201,0.3291212094295495,34,4.335703
86,25,t_x_367,0.32833040353733933,33,4.357411
87,26,t_x_270,0.32783001401543077,32,4.378417
88,27,t_x_400,0.3277550551348225,31,4.399271
89,17,t_x_26,0.33710634432496456,79,4.426290
90,18,t_x_77,0.33679519038950717,46,4.462055
91,19,t_x_21,0.33674725056917193,45,4.499467
92,20,t_x_80,0.33654528594539296,44,4.536382
93,21,t_x_78,0.33629539686852905,43,4.571729
94,22,t_x_20,0.3353069744273539,42,4.606205
95,23,t_x_407,0.3335813800840952,41,4.640494
96,24,t_x_75,0.3306908869598732,40,4.663415
97,25,t_x_373,0.3291839228566644,39,4.697562
98,26,t_x_97,0.3290778133744423,38,4.720293
99,27,t_x_153,0.32837066835719786,37,4.742938
100,28,t_x_367,0.32833040353733933,36,4.764946
101,29,t_x_374,0.32811552122135923,35,4.786966
102,30,t_x_270,0.32783001401543077,34,4.808827
103,31,t_x_411,0.32753300194262525,33,4.830894
104,28,t_x_411,0.32753300194262525,30,4.856077
105,29,t_x_19,0.32721141007081767,29,4.877088
106,30,t_x_15,0.3268669079888928,28,4.897076
107,32,t_x_19,0.32721141007081767,32,4.928875
108,33,t_x_15,0.3268669079888928,31,4.961260
109,34,t_x_22,0.32643339157926643,30,4.993203
110,35,t_x_369,0.3257086592576262,29,5.024741
111,36,t_x_366,0.32490447930058935,28,5.046169
112,5,t_x_233,0.37287977458525207,445,5.107240
113,6,t_x_84,0.37220052237281115,91,5.298784
114,7,t_x_82,0.3697496709659753,90,5.353732
115,6,t_x_84,0.37220052237281115,444,5.430764
116,7,t_x_82,0.3697496709659753,105,5.620868
117,8,t_x_88,0.36565753033657356,47,5.665491
118,9,t_x_89,0.3418552133182626,29,5.692672
119,10,t_x_76,0.3397542609479636,28,5.711013
120,11,t_x_83,0.3381592926679389,27,5.741507
